council,county,council_type,sales_volume_nov_2023,sales_volume_nov_2022,growth(%),rank
East Staffordshire,Staffordshire,district_councils,186,140,32.86,1
Fareham,Hampshire,district_councils,161,130,23.85,2
Winchester,Hampshire,district_councils,158,130,21.54,3
Gosport,Hampshire,district_councils,111,93,19.35,4
Chesterfield,Derbyshire,district_councils,141,119,18.49,5
Pendle,Lancashire,district_councils,123,104,18.27,6
Hartlepool,County Durham,unitary_authorities,94,80,17.5,7
South Northamptonshire,Northamptonshire,district_councils,162,138,17.39,8
Watford,Hertfordshire,district_councils,89,76,17.11,9
Cannock Chase,Staffordshire,district_councils,122,105,16.19,10
Copeland,Cumbria,district_councils,95,82,15.85,11
Worcester,Worcestershire,district_councils,146,127,14.96,12
Barrow in Furness,Cumbria,district_councils,88,77,14.29,13
Gateshead,Tyne and Wear,metropolitan_districts,215,189,13.76,14
Broadland,Norfolk,district_councils,198,176,12.5,15
Epsom and Ewell,Surrey,district_councils,72,64,12.5,15
Fenland,Cambridgeshire,district_councils,148,132,12.12,16
South Staffordshire,Staffordshire,district_councils,118,106,11.32,17
Castle Point,Essex,district_councils,122,110,10.91,18
Lancaster,Lancashire,district_councils,225,203,10.84,19
Lewisham,Greater London,london_boroughs,244,223,9.42,20
Gloucester,Gloucestershire,district_councils,170,158,7.59,21
New Forest,Hampshire,district_councils,236,221,6.79,22
Rotherham,South Yorkshire,metropolitan_districts,271,255,6.27,23
North East Lincolnshire,Lincolnshire,unitary_authorities,210,198,6.06,24
Hertsmere,Hertfordshire,district_councils,142,134,5.97,25
Chiltern,Buckinghamshire,district_councils,110,104,5.77,26
Sefton,Merseyside,metropolitan_districts,314,297,5.72,27
Mid Devon,Devon,district_councils,101,96,5.21,28
Bolsover,Derbyshire,district_councils,107,102,4.9,29
Hambleton,North Yorkshire,district_councils,109,104,4.81,30
Huntingdonshire,Cambridgeshire,district_councils,232,222,4.5,31
Tamworth,Staffordshire,district_councils,76,73,4.11,32
Ashfield,Nottinghamshire,district_councils,156,150,4.0,33
St Helens,Merseyside,metropolitan_districts,204,197,3.55,34
Warwick,Warwickshire,district_councils,212,206,2.91,35
Haringey,Greater London,london_boroughs,149,145,2.76,36
West Devon,Devon,district_councils,76,74,2.7,37
West Lancashire,Lancashire,district_councils,120,117,2.56,38
Westminster,Greater London,london_boroughs,160,156,2.56,38
Bracknell Forest,Berkshire,unitary_authorities,163,159,2.52,39
Elmbridge,Surrey,district_councils,164,161,1.86,40
Epping Forest,Essex,district_councils,151,149,1.34,41
Waverley,Surrey,district_councils,175,173,1.16,42
Worthing,West Sussex,district_councils,174,173,0.58,43
Rushcliffe,Nottinghamshire,district_councils,176,175,0.57,44
Basildon,Essex,district_councils,206,206,0.0,45
Bassetlaw,Nottinghamshire,district_councils,154,154,0.0,45
East Hertfordshire,Hertfordshire,district_councils,168,168,0.0,45
Sedgemoor,Somerset,district_councils,163,163,0.0,45
Bexley,Greater London,london_boroughs,245,245,0.0,45
Bristol,Bristol,unitary_authorities,522,522,0.0,45
Hinckley and Bosworth,Leicestershire,district_councils,166,167,-0.6,46
North Norfolk,Norfolk,district_councils,159,160,-0.63,47
Selby,North Yorkshire,district_councils,152,153,-0.65,48
Mansfield,Nottinghamshire,district_councils,131,132,-0.76,49
Braintree,Essex,district_councils,195,197,-1.02,50
Spelthorne,Surrey,district_councils,94,95,-1.05,51
Maldon,Essex,district_councils,85,86,-1.16,52
Adur,West Sussex,district_councils,82,83,-1.2,53
Oadby and Wigston,Leicestershire,district_councils,67,68,-1.47,54
Woking,Surrey,district_councils,123,125,-1.6,55
Blackpool,Lancashire,unitary_authorities,179,182,-1.65,56
Hart,Hampshire,district_councils,118,120,-1.67,57
Durham,County Durham,unitary_authorities,608,620,-1.94,58
Isle of Wight,Isle of Wight,unitary_authorities,222,227,-2.2,59
Windsor and Maidenhead,Berkshire,unitary_authorities,133,136,-2.21,60
Derby,Derbyshire,unitary_authorities,255,261,-2.3,61
Scarborough,North Yorkshire,district_councils,168,172,-2.33,62
Halton,Cheshire,unitary_authorities,115,118,-2.54,63
Uttlesford,Essex,district_councils,110,113,-2.65,64
Broxtowe,Nottinghamshire,district_councils,142,146,-2.74,65
Colchester,Essex,district_councils,248,256,-3.13,66
Lambeth,Greater London,london_boroughs,244,252,-3.17,67
Folkestone and Hythe,Kent,district_councils,147,152,-3.29,68
Wyre Forest,Worcestershire,district_councils,108,112,-3.57,69
Eden,Cumbria,district_councils,75,78,-3.85,70
South Norfolk,Norfolk,district_councils,193,201,-3.98,71
Torridge,Devon,district_councils,93,97,-4.12,72
Wolverhampton,West Midlands,metropolitan_districts,233,243,-4.12,72
Wandsworth,Greater London,london_boroughs,342,357,-4.2,73
Wycombe,Buckinghamshire,district_councils,186,195,-4.62,74
Tunbridge Wells,Kent,district_councils,144,151,-4.64,75
Lincoln,Lincolnshire,district_councils,121,127,-4.72,76
Staffordshire Moorlands,Staffordshire,district_councils,121,127,-4.72,76
Northampton,Northamptonshire,district_councils,273,287,-4.88,77
Great Yarmouth,Norfolk,district_councils,132,139,-5.04,78
North Kesteven,Lincolnshire,district_councils,165,174,-5.17,79
Dudley,West Midlands,metropolitan_districts,351,371,-5.39,80
York,North Yorkshire,unitary_authorities,263,278,-5.4,81
Rossendale,Lancashire,district_councils,87,92,-5.43,82
Torbay,Devon,unitary_authorities,206,218,-5.5,83
Bromley,Greater London,london_boroughs,343,363,-5.51,84
Sunderland,Tyne and Wear,metropolitan_districts,277,294,-5.78,85
Slough,Berkshire,unitary_authorities,97,103,-5.83,86
East Hampshire,Hampshire,district_councils,145,154,-5.84,87
Runnymede,Surrey,district_councils,95,101,-5.94,88
Brighton and Hove,East Sussex,unitary_authorities,300,319,-5.96,89
North Tyneside,Tyne and Wear,metropolitan_districts,263,280,-6.07,90
Allerdale,Cumbria,district_councils,122,130,-6.15,91
High Peak,Derbyshire,district_councils,120,128,-6.25,92
North Devon,Devon,district_councils,140,150,-6.67,93
Rochford,Essex,district_councils,98,105,-6.67,93
South Hams,Devon,district_councils,126,135,-6.67,93
Greenwich,Greater London,london_boroughs,263,282,-6.74,94
Harrogate,North Yorkshire,district_councils,214,230,-6.96,95
Stroud,Gloucestershire,district_councils,152,164,-7.32,96
Oxford,Oxfordshire,district_councils,101,109,-7.34,97
Hyndburn,Lancashire,district_councils,83,90,-7.78,98
Peterborough,Cambridgeshire,unitary_authorities,213,231,-7.79,99
St Albans,Hertfordshire,district_councils,178,194,-8.25,100
Cheshire East,Cheshire,unitary_authorities,565,616,-8.28,101
Coventry,West Midlands,metropolitan_districts,329,359,-8.36,102
Rushmoor,Hampshire,district_councils,98,107,-8.41,103
Bradford,West Yorkshire,metropolitan_districts,540,591,-8.63,104
Derbyshire Dales,Derbyshire,district_councils,95,104,-8.65,105
Darlington,County Durham,unitary_authorities,122,134,-8.96,106
Lewes,East Sussex,district_councils,129,142,-9.15,107
West Lindsey,Lincolnshire,district_councils,128,141,-9.22,108
Surrey Heath,Surrey,district_councils,107,118,-9.32,109
Cornwall,Cornwall,unitary_authorities,778,858,-9.32,109
Kensington and Chelsea,Greater London,london_boroughs,106,117,-9.4,110
Bolton,Greater Manchester,metropolitan_districts,277,307,-9.77,111
Dorset,Dorset,unitary_authorities,582,646,-9.91,112
Harlow,Essex,district_councils,99,110,-10.0,113
Enfield,Greater London,london_boroughs,214,238,-10.08,114
Nuneaton and Bedworth,Warwickshire,district_councils,177,197,-10.15,115
Camden,Greater London,london_boroughs,123,137,-10.22,116
Tendring,Essex,district_councils,218,243,-10.29,117
